fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long
48255,Karnes County,Texas,TX,9133,6254,34.7,15387,40.64470007,28.90572925,-97.85938066
48257,Kaufman County,Texas,TX,58360,60550,35.6,118910,50.92086452,32.59931225,-96.28778549
48259,Kendall County,Texas,TX,20415,21567,42.1,41982,51.37201658,29.94465924,-98.71155152
48261,Kenedy County,Texas,TX,286,309,39.5,595,51.93277311,26.92854487,-97.70173623
48263,Kent County,Texas,TX,327,422,51.8,749,56.34178905,33.18131269,-100.7776243
48265,Kerr County,Texas,TX,24886,26479,47.7,51365,51.5506668,30.06145526,-99.35001216
48267,Kimble County,Texas,TX,2154,2254,52.9,4408,51.13430127,30.48679744,-99.74868811
48269,King County,Texas,TX,118,110,46.5,228,48.24561404,33.61654785,-100.25584
48271,Kinney County,Texas,TX,2290,1385,41.7,3675,37.68707483,29.35008456,-100.4179854
48273,Kleberg County,Texas,TX,16052,15373,28,31425,48.91964996,27.43370654,-97.72728298
48275,Knox County,Texas,TX,1853,1880,39.5,3733,50.36163943,33.60609256,-99.74142702
48277,Lamar County,Texas,TX,23917,25615,40.8,49532,51.71404345,33.66725053,-95.57119722
48279,Lamb County,Texas,TX,6710,6552,36,13262,49.40431307,34.06860858,-102.3517172
48281,Lampasas County,Texas,TX,10187,10453,42.2,20640,50.64437984,31.19620955,-98.24144938
48283,La Salle County,Texas,TX,4408,3001,33.8,7409,40.50479147,28.34514357,-99.09958589
48285,Lavaca County,Texas,TX,9684,10257,43.5,19941,51.43673838,29.38434069,-96.93012561
48287,Lee County,Texas,TX,8558,8394,41.5,16952,49.51628126,30.31065368,-96.96569099
48289,Leon County,Texas,TX,8602,8496,45,17098,49.69002222,31.29650397,-95.99569629
48291,Liberty County,Texas,TX,40439,41423,35.7,81862,50.60101146,30.15161524,-94.81220758
48293,Limestone County,Texas,TX,12056,11459,40,23515,48.73059749,31.5454568,-96.58050712
48295,Lipscomb County,Texas,TX,1840,1629,34.9,3469,46.95877775,36.27763953,-100.2731484
48297,Live Oak County,Texas,TX,6634,5489,42.2,12123,45.27757156,28.35140099,-98.12482865
48299,Llano County,Texas,TX,10138,10502,57.6,20640,50.88178295,30.70573837,-98.6841223
48301,Loving County,Texas,TX,58,44,55.4,102,43.1372549,31.84927477,-103.5800104
48303,Lubbock County,Texas,TX,148631,152823,30.7,301454,50.69529679,33.61021105,-101.8205246
48305,Lynn County,Texas,TX,2977,2831,38.2,5808,48.74311295,33.17683518,-101.8161233
48307,McCulloch County,Texas,TX,4260,3838,44.6,8098,47.39441837,31.19887004,-99.3475465
48309,McLennan County,Texas,TX,121359,127070,33.2,248429,51.14942297,31.55237627,-97.20177966
48311,McMullen County,Texas,TX,387,275,40.2,662,41.5407855,28.35268319,-98.56785422
48313,Madison County,Texas,TX,8127,6001,34.7,14128,42.47593431,30.96554203,-95.92842232
48315,Marion County,Texas,TX,4915,5168,50.1,10083,51.25458693,32.79798609,-94.35717135
48317,Martin County,Texas,TX,2934,2680,32.2,5614,47.73779836,32.30599109,-101.9512723
48319,Mason County,Texas,TX,2146,2015,46.9,4161,48.42585917,30.71771247,-99.22614435
48321,Matagorda County,Texas,TX,18319,18424,37.8,36743,50.14288436,28.82115928,-96.01099803
48323,Maverick County,Texas,TX,28736,29234,29.6,57970,50.42953252,28.74246914,-100.3144814
48325,Medina County,Texas,TX,25551,23783,39.3,49334,48.20813232,29.35569304,-99.11016729
48327,Menard County,Texas,TX,1117,1006,49.1,2123,47.38577485,30.88981805,-99.82059985
48329,Midland County,Texas,TX,82543,81651,31.7,164194,49.7283701,31.86913691,-102.0315952
48331,Milam County,Texas,TX,12343,12321,41.3,24664,49.95540058,30.78633227,-96.9768059
