New York,California,Florida,Texas,New Jersey,Illinois,Massachusetts,Georgia,Pennsylvania,Michigan
363836,99492,52255,57230,155764,113195,96826,43983,72778,59974
364965,101071,52634,58542,156628,114306,97428,44638,73557,60592
366733,103813,53285,60395,157185,115833,98198,45266,74220,61116
368284,106638,54497,60901,158844,117455,98880,45881,74984,61833
369660,109895,55424,62894,159608,118917,99773,46331,75697,62225
370770,111951,56163,64652,160445,120260,100468,47063,76129,62711
371711,114733,56830,65593,160918,121234,100805,47902,76646,62928
373040,117215,57447,67310,161545,122848,101163,48207,77225,63240
374085,119374,58764,68877,162068,123830,101592,48894,77780,63657
375133,122194,60183,70555,162530,124759,102063,49859,78335,63979
376208,125783,61488,72548,163336,125915,102557,50621,78815,64821
377316,128606,62758,74470,163893,126890,103132,51359,79505,64914
378097,130657,63938,75408,164164,127757,103436,51898,79908,64969
378799,133816,64904,76463,164497,128415,103626,52497,80339,65104
379482,136681,66000,78208,164796,129212,103889,53249,80870,65167
380156,139715,67371,80777,165346,129837,104156,53980,81316,65182
380892,143439,69069,82658,165816,130603,104667,54973,81848,65449
381714,146659,70971,84927,166164,131198,105059,55783,82481,65672
382630,150034,73552,86915,166605,131871,105395,56804,82944,65836
383324,152349,75568,88523,166881,132543,105603,57681,83203,66054
383944,155726,77326,90211,167103,133016,105690,58414,83589,66085
384575,158961,80109,93569,167426,133639,105885,59078,83978,66269
385142,162798,82719,97699,167703,134185,106151,60030,84289,66497
385760,167133,85926,101259,168107,134778,106422,60912,84683,66798
386556,170862,89748,105394,168496,135470,106650,62009,85199,67097
387272,175243,93797,109581,168834,136104,106936,63809,85590,67545
387936,178657,97291,112944,169142,136762,107061,64701,85935,67711
388488,184765,100217,117790,169415,137224,107210,65928,86576,67957
389085,191477,103503,122932,169734,137825,107439,67810,87208,68197
389666,196024,109014,128132,169892,138540,107611,69381,87685,68555
390415,201112,114018,134558,170196,139434,107837,71095,88141,68989
391220,206844,122960,140173,170584,140291,108070,72995,88860,69329
391923,210692,132545,145894,170873,141077,108443,74985,89446,69679
392539,215487,141075,150722,171182,141723,108667,77210,89863,69946
392930,223646,146341,156706,171272,142461,108768,79417,90467,70223
393454,231418,152434,163060,171667,143185,108882,81291,91139,70728
394079,238681,158997,172368,171928,144013,109143,84242,91775,71089
394954,246550,169106,179137,172356,144882,109338,87709,92612,71678
395872,250514,178594,186799,172742,145750,109628,90493,93392,72175
396598,252895,190052,193958,173033,146612,109838,93319,93922,72581
397131,264681,200111,197421,173402,147251,109974,95516,94403,72941
397649,271035,206447,205642,173611,147865,110137,97064,95100,73267
398237,284012,213794,216026,173878,149574,110338,100470,95898,73900
398929,292560,223783,224929,174039,150554,110602,103890,96725,74551
399513,302484,232718,236541,174270,151572,110897,106727,97542,75063
400299,310885,244151,245920,174628,152899,111110,111217,98482,75685
401029,318761,254511,254415,174959,154094,111398,114401,99216,76370
401706,324543,269811,262762,175298,155048,111597,116935,99794,76776
402263,333357,282435,269778,175522,155931,111827,120572,100330,77198
403175,346211,291629,279577,175915,156638,112130,123963,101266,77864
404006,354885,301810,290892,176278,157825,112347,127838,102269,78913
404775,364706,315775,305854,176501,159082,112581,131287,103075,79839
405551,373259,327241,317768,176551,160509,112879,135192,104079,80593
406305,380745,337569,327106,176814,161785,113238,139880,104780,81338
406807,386906,350047,335257,176783,162750,113534,143129,105384,81868
407326,397870,360394,343783,176963,163922,113789,145582,106405,82395
408181,409305,369834,351071,177256,164864,114033,148988,107460,83059
408886,421286,379619,363615,177645,166475,114320,152302,108223,83730
409697,430773,389868,373037,177887,168096,114647,156607,109105,84431
410450,440185,402312,380364,178345,169696,114985,161420,110292,85072
411200,446452,414511,390286,178858,171122,115268,165188,111115,85622
411736,452288,423855,394084,179363,172663,115637,167953,111745,86661
412344,458121,432747,400336,179812,173894,115926,170843,112995,87173
412878,470762,441977,408493,180295,174968,116182,175052,114083,87958
413593,484913,451423,418995,180600,176363,116684,178323,114939,88974
414370,492934,461379,428229,180970,178135,117098,182286,115807,89781
415014,500556,470386,438293,181660,180115,117612,186352,116787,90574
415767,506613,480028,444738,182029,181754,118040,190012,117468,91332
416298,512175,487132,448145,182350,183224,118458,193177,118033,91758
416843,516851,491884,456624,182614,184522,118657,195435,118894,92374
417589,526685,497330,466032,182970,185993,119203,197948,119724,93175
418225,530606,502739,476999,183327,187752,119643,201713,120446,93893
418928,541339,510389,483920,183701,189705,119874,204895,121247,94656
419642,546814,518075,491304,184061,191808,120291,209004,122028,95470
420345,554388,526577,497632,184429,193998,120711,213427,122665,96191
420860,559746,532806,503328,184773,195380,121040,216596,123312,96726
421336,574231,536961,509581,185031,196699,121315,219025,124221,97306
422003,578946,542792,517700,185475,198248,121707,222588,125016,98213
422703,591376,550901,523977,185938,199893,121707,226153,125918,98689
