Forecasting,pred_lower,pred_upper
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
35883.77199222908,,
32208.573810699396,,
33643.36714337672,,
37475.89490408043,,
49499.77619676915,,
51138.60273191719,,
41995.23921137526,,
41894.758547360245,,
41540.4311375823,,
44008.90659294871,,
44113.40397113929,,
60665.03939242601,,
56856.956301803715,,
45979.6186869413,,
